"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"54",102,"Sète",111,6,91281,31276,6985,870,2181,2678,15,-11.8348615671287,37.3860117492423,46.7695503148775,27.45594166014,-20.5324314359208,-8.88345970780535,"Sète"
"55",125,"Aurillac",112,6,64775,27262,3455,339,1355,2164,18,9.57103030211819,2.51073480351867,-9.83941125413468,16.4324957456244,0.465117871601528,39.3936108480655,"Aurillac"
"56",33,"Amiens",112,8,295892,115928,11597,1533,3865,15539,46,-1.30583103972359,-33.6924195298007,-25.6312701151819,-40.7225526554374,10.2406148816238,0.166867856711583,"Amiens"
"57",34,"Mulhouse",112,8,285449,108458,15075,1680,4335,11570,42,-4.28542964484375,-3.74272953660117,-12.5317800353411,-25.4154082366057,-14.8213527176368,-5.7831496831088,"Mulhouse"
"58",144,"Saint-Dizier",112,6,53381,19296,2105,193,804,1226,13,-5.16870426158054,-27.0072702989118,-44.9412557754381,-15.1350966713732,-32.4929168785784,23.796695268171,"Saint-Dizier"
"59",37,"Genève (SUI) - Annemasse (partie française)",112,8,314972,150224,14500,1892,6676,24363,40,18.2081659763806,-17.8227670755573,-11.4475060622124,7.27027778384972,47.5044009334532,-19.2826729151628,"Genève (SUI) - Annemasse (partie française)"
"60",67,"Beauvais",112,7,126590,50964,5771,689,2011,5219,19,3.49075648428645,-15.566924858849,-12.4389666979035,-15.5266685348981,5.85733030589015,-13.8870205665789,"Beauvais"
"61",32,"Le Havre",112,8,290684,109279,11004,1290,3556,11480,33,-5.39311138331833,-37.1024182130755,-40.9411267624688,-47.1616715806311,-17.8437886644975,-31.491137781003,"Le Havre"
"62",83,"Nevers",112,6,99391,37253,4321,470,1763,3196,22,-3.06687966439778,-19.455604375932,-24.1467086277782,-2.89650438678821,-13.3480909441605,21.960315708851,"Nevers"
"63",133,"Haguenau",111,6,59900,26220,3523,369,1019,2379,13,13.6896698220488,12.5616254813101,7.22597196985744,-3.72280515989365,19.5878897930451,13.7045887356204,"Haguenau"
"64",42,"Pau",112,8,243122,99162,14381,1883,4743,13925,37,3.19647616853018,8.16357025308818,16.4873379897889,0.692698899474919,23.5018775836473,-4.40034195764478,"Pau"
"65",12,"Rouen",112,9,653330,262483,29697,3639,10112,33181,96,-0.731026432437254,-21.680736003888,-26.0998580405504,-29.0026574349289,-11.5937239543621,4.35964487891667,"Rouen"
"66",65,"Blois",112,7,128205,52306,6145,710,2125,6022,27,4.79119367070755,-10.6002556018758,-10.8276633833275,-11.3643851198447,18.6050967685215,20.1424044123019,"Blois"
"67",134,"Dreux",112,6,60280,21603,2654,386,837,1723,7,-6.32721897845929,-16.417688135751,11.0361182531705,-24.0723827651672,-13.4534288739862,-48.7532312057912,"Dreux"
"68",13,"Toulon",111,9,622895,229914,48442,6357,14925,25590,91,-9.09196097511273,32.19102598863,34.9195717988705,15.0152972406209,-31.6874007777876,3.18913993012089,"Toulon"
"69",64,"Colmar",112,7,129889,54580,7644,818,2204,6868,24,7.70993652807412,9.87671677003075,1.90011349447472,-9.1055974844239,30.1408877708129,7.22109577444177,"Colmar"
"70",75,"La Roche-sur-Yon",112,7,110829,46890,5582,645,1874,4676,18,8.78109838783345,-5.1286248682846,-4.44763632489744,-8.40498775877556,11.2710741247437,-7.64751426272356,"La Roche-sur-Yon"
"71",87,"Périgueux",111,7,92809,36664,5129,597,1978,3529,19,2.35885453108438,4.78160494741484,7.29029606773981,15.9161422615451,5.01442226689797,13.3013627234408,"Périgueux"
"72",111,"Armentières (partie française)",111,6,78130,31170,3414,383,975,3206,9,3.76315167540966,-18.0933766402758,-18.2055338349562,-36.4667192781913,16.6509059681924,-46.339982779098,"Armentières (partie française)"
"73",78,"Alès",112,7,114075,37456,7691,912,3079,2753,26,-16.6400537763357,23.9325856840956,27.0236461210259,38.1699724592682,-45.2646683907567,26.5964849890855,"Alès"
"74",39,"Poitiers",111,8,260626,108571,11951,1465,4606,14595,56,5.13900495080275,-17.5446229870326,-16.2426171408969,-9.65118856867111,19.6261672724166,30.9536055376645,"Poitiers"
"75",53,"Béziers",112,7,171912,57017,13348,1775,4119,4584,29,-16.6379713484574,36.5968051617184,48.6114976648558,23.5408546523082,-44.8619526108077,1.59398076693686,"Béziers"
"76",142,"Rochefort",112,6,55756,21229,3045,384,1230,1716,9,-0.081195544132484,5.40385904823628,19.0773610580314,22.7405269495977,-4.23804598262265,-16.7885297479275,"Rochefort"
